,best,step,problem
0,46235.00416032735,80,50_1_1
1,46058.652586581906,80,50_1_1
2,46502.08490453426,80,50_1_1
3,47273.555191768275,80,50_1_1
4,45948.01028239651,80,50_1_1
5,46458.88146891887,80,50_1_1
6,46133.50449291807,80,50_1_1
7,46429.849390545685,80,50_1_1
8,47304.06736419166,80,50_1_1
9,47007.2972428916,80,50_1_1
10,49471.59016461842,80,50_1_2
11,49338.95712503661,80,50_1_2
12,50053.63014862798,80,50_1_2
13,49304.789696048756,80,50_1_2
14,49697.6839870979,80,50_1_2
15,49992.585968652595,80,50_1_2
16,49338.95712503661,80,50_1_2
17,49304.789696048756,80,50_1_2
18,49468.73221554684,80,50_1_2
19,50284.95679138746,80,50_1_2
20,61532.510746186825,80,50_1_3
21,60600.447054835866,80,50_1_3
22,59923.35307662264,80,50_1_3
23,61727.6928728109,80,50_1_3
24,61727.6928728109,80,50_1_3
25,58528.924641529404,80,50_1_3
26,59867.554888587634,80,50_1_3
27,58528.924641529404,80,50_1_3
28,59541.67599600241,80,50_1_3
29,62185.22068421654,80,50_1_3
30,65984.16983532748,80,50_1_4
31,65865.6908997316,80,50_1_4
32,66627.81444199472,80,50_1_4
33,68631.7992518038,80,50_1_4
34,68351.1396990685,80,50_1_4
35,65190.674564734,80,50_1_4
36,66627.94331305576,80,50_1_4
37,66402.87251924565,80,50_1_4
38,65847.06411256082,80,50_1_4
39,66031.60688284061,80,50_1_4
40,47708.52518664585,80,50_2_1
41,45211.715549384644,80,50_2_1
42,46351.40795747177,80,50_2_1
43,45629.58149722674,80,50_2_1
44,49071.94607231715,80,50_2_1
45,46259.903248427596,80,50_2_1
46,47344.98591111392,80,50_2_1
47,45593.78200517054,80,50_2_1
48,45871.876297619456,80,50_2_1
49,45398.92312785684,80,50_2_1
50,47972.29064145301,80,50_2_2
51,49588.58010506256,80,50_2_2
52,48123.78456433768,80,50_2_2
53,48567.09212575174,80,50_2_2
54,47687.7804669297,80,50_2_2
55,47859.82104543244,80,50_2_2
56,50752.08419910266,80,50_2_2
57,48656.6299914856,80,50_2_2
58,49054.62157646667,80,50_2_2
59,49063.14539302163,80,50_2_2
60,54678.73610806599,80,50_2_3
61,54673.89895120451,80,50_2_3
62,54678.73610806599,80,50_2_3
63,54673.89895120451,80,50_2_3
64,54481.181572381785,80,50_2_3
65,54481.181572381785,80,50_2_3
66,56561.48113645789,80,50_2_3
67,56798.76708438847,80,50_2_3
68,57557.329516344,80,50_2_3
69,55024.50798951213,80,50_2_3
70,65028.91879800689,80,50_2_4
71,64938.4714670666,80,50_2_4
72,64544.45355852567,80,50_2_4
73,64520.741501068216,80,50_2_4
74,62228.05170105215,80,50_2_4
75,65084.63491424773,80,50_2_4
76,66510.0502759964,80,50_2_4
77,64174.70446272077,80,50_2_4
78,64199.09066075559,80,50_2_4
79,64540.498926416614,80,50_2_4
80,75795.9954420609,80,80_1
81,75078.64600375447,80,80_1
82,71879.05437698904,80,80_1
83,74660.65863710694,80,80_1
84,70793.67976211442,80,80_1
85,72050.3806070514,80,80_1
86,75948.3457265769,80,80_1
87,70685.02966697275,80,80_1
88,75165.69265045124,80,80_1
