,best,dlt,problem
0,46991.830748753564,0.76,50_1_1
1,48512.57157651026,0.76,50_1_1
2,47233.3194886813,0.76,50_1_1
3,46725.12751569296,0.76,50_1_1
4,46058.765103396116,0.76,50_1_1
5,46891.861172541554,0.76,50_1_1
6,46188.01535603395,0.76,50_1_1
7,46940.92099925197,0.76,50_1_1
8,50160.19494689878,0.76,50_1_1
9,47765.271746839535,0.76,50_1_1
10,49962.87718047843,0.76,50_1_2
11,49702.63832175563,0.76,50_1_2
12,49379.797786716095,0.76,50_1_2
13,49589.65988626635,0.76,50_1_2
14,50084.03622350149,0.76,50_1_2
15,50754.83523385136,0.76,50_1_2
16,49877.16354800449,0.76,50_1_2
17,49450.80044771518,0.76,50_1_2
18,50340.58079457031,0.76,50_1_2
19,49561.114245729026,0.76,50_1_2
20,59980.846356896334,0.76,50_1_3
21,60446.220121807506,0.76,50_1_3
22,59973.89401441243,0.76,50_1_3
23,59541.67599600241,0.76,50_1_3
24,59973.28689478291,0.76,50_1_3
25,59541.67599600241,0.76,50_1_3
26,60600.447054835866,0.76,50_1_3
27,59541.67599600241,0.76,50_1_3
28,61727.6928728109,0.76,50_1_3
29,59980.846356896334,0.76,50_1_3
30,65927.76629694752,0.76,50_1_4
31,63824.18611266362,0.76,50_1_4
32,68485.23926802962,0.76,50_1_4
33,66462.23164221413,0.76,50_1_4
34,65309.08062430672,0.76,50_1_4
35,66574.76242928475,0.76,50_1_4
36,66840.84758516322,0.76,50_1_4
37,66379.52594106401,0.76,50_1_4
38,66461.4499098569,0.76,50_1_4
39,66385.79196296951,0.76,50_1_4
40,47077.90298997986,0.76,50_2_1
41,48686.420113770335,0.76,50_2_1
42,46515.235663230895,0.76,50_2_1
43,48839.28435260685,0.76,50_2_1
44,46111.43664695289,0.76,50_2_1
45,46774.551716960996,0.76,50_2_1
46,46478.72037948287,0.76,50_2_1
47,45941.811933174075,0.76,50_2_1
48,47146.407720461524,0.76,50_2_1
49,45739.16086208989,0.76,50_2_1
50,49387.35184344392,0.76,50_2_2
51,49430.41873781083,0.76,50_2_2
52,47416.23666547685,0.76,50_2_2
